                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4185,                0.85435,                 1.8055,                0.88618,                0.89513,                0.91701,                 0.7395,                 1.6418,                 1.0696,                    2.1,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4113,                0.82926,                   1.83,                0.89602,                0.88015,                0.92744,                0.73988,                 1.6744,                  1.032,                 2.1107,               0.000614,               0.000614,               0.000614
                     37,                 1.3506,                0.77275,                  1.796,                0.89591,                 0.8764,                0.92508,                0.74547,                 1.6839,                 1.0454,                 2.0942,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3467,                0.78667,                 1.7915,                0.88216,                0.89724,                0.92206,                 0.7379,                 1.6591,                 1.0729,                 2.1059,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3734,                0.79442,                 1.8289,                0.88304,                0.89513,                0.93424,                0.75234,                 1.6618,                 1.0291,                 2.0918,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3233,                0.76066,                 1.7978,                0.87977,                 0.8764,                0.92877,                0.75974,                 1.6387,                 1.0687,                 2.0642,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1289,                0.64946,                 1.7245,                  0.882,                0.89586,                0.92705,                0.75684,                  1.624,                 1.0501,                 2.0658,               0.000416,               0.000416,               0.000416
                     42,                  1.077,                 0.6216,                 1.7118,                0.90867,                0.88015,                0.92975,                0.75772,                 1.6337,                 1.0044,                 2.0829,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0778,                 0.6308,                 1.7135,                 0.9087,                 0.8764,                0.93244,                0.76643,                  1.574,                 1.0249,                 2.0745,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0435,                0.59871,                  1.693,                0.90189,                0.88015,                 0.9235,                0.76065,                 1.5634,                  1.076,                   2.08,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0242,                 0.5922,                  1.695,                0.90107,                0.85282,                0.91812,                0.76446,                 1.5358,                 1.0978,                 2.0768,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0211,                0.60543,                 1.7131,                0.89325,                0.86517,                0.91916,                0.76324,                 1.5794,                 1.1227,                 2.0833,               0.000218,               0.000218,               0.000218
                     47,                0.97246,                0.56679,                  1.688,                0.90228,                0.86452,                   0.92,                  0.762,                 1.5553,                 1.1006,                  2.085,              0.0001784,              0.0001784,              0.0001784
                     48,                0.95414,                0.55367,                 1.6727,                0.87369,                0.90673,                0.92247,                0.76552,                 1.5589,                 1.0733,                 2.0855,              0.0001388,              0.0001388,              0.0001388
                     49,                0.95906,                0.54174,                 1.6756,                0.86987,                0.89139,                0.91735,                0.76795,                 1.5577,                  1.121,                 2.0938,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.93893,                 0.5546,                 1.6672,                0.88303,                0.88764,                0.92231,                0.76822,                 1.5387,                 1.0958,                 2.0844,               5.96e-05,               5.96e-05,               5.96e-05
