                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6911,                 1.2461,                 1.8398,                0.79372,                0.80524,                0.86161,                0.65945,                 1.7904,                 1.3448,                 1.9548,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.6402,                 1.2091,                 1.8383,                0.79533,                0.77136,                0.85733,                0.66452,                 1.7535,                   1.35,                 1.9387,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.6208,                 1.1888,                 1.8205,                0.76478,                0.79026,                0.84896,                0.66725,                 1.7318,                 1.3666,                 1.9224,               0.000614,               0.000614,               0.000614
                     37,                 1.6559,                 1.2111,                 1.8134,                0.77759,                0.83521,                0.86167,                0.67264,                 1.7494,                 1.3263,                 1.9255,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.6069,                 1.1693,                 1.8163,                0.80789,                0.77154,                0.85516,                0.65681,                 1.8191,                 1.3634,                 1.9534,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.6324,                 1.1919,                   1.84,                0.85038,                0.78652,                0.86754,                0.65615,                 1.8008,                 1.2801,                 1.9566,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.6117,                 1.1792,                 1.8217,                0.82239,                0.82022,                 0.8637,                0.66862,                 1.7478,                 1.3084,                 1.9175,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3934,                 1.0733,                 1.7551,                0.84501,                0.79635,                0.86842,                 0.6815,                 1.6925,                 1.2911,                 1.9046,               0.000416,               0.000416,               0.000416
                     42,                 1.3527,                 1.0328,                 1.7375,                0.82379,                0.79775,                0.87688,                0.68053,                 1.7169,                  1.256,                 1.9217,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3411,                 1.0098,                  1.742,                0.85752,                0.78897,                0.87389,                0.68238,                 1.7098,                 1.2744,                 1.9033,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.2938,                0.96657,                 1.7211,                0.85759,                 0.8015,                0.87562,                0.68473,                  1.682,                 1.2505,                 1.9033,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3184,                0.98747,                 1.7268,                0.82942,                0.78277,                0.86763,                0.67952,                 1.6952,                 1.2498,                 1.8939,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.2743,                0.96855,                 1.7311,                0.81554,                0.82397,                0.87267,                 0.6835,                 1.6543,                 1.2071,                 1.8941,               0.000218,               0.000218,               0.000218
                     47,                 1.2096,                0.94268,                 1.7122,                0.84532,                0.79775,                0.87481,                0.68649,                 1.6768,                 1.2295,                 1.9009,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2218,                0.93553,                 1.7026,                0.82015,                0.82397,                0.87667,                0.68927,                 1.6553,                 1.2479,                 1.9055,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2282,                0.94297,                 1.7107,                0.83891,                0.82022,                0.87932,                0.69634,                 1.6415,                  1.218,                 1.9007,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.2273,                0.92917,                 1.7006,                0.81814,                0.82397,                0.87982,                0.69356,                 1.6297,                 1.2158,                 1.8884,               5.96e-05,               5.96e-05,               5.96e-05
