                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78488,                0.58348,                0.91235,                0.86918,                0.86891,                0.93248,                0.72292,                0.88325,                0.65975,                0.98488,               0.000614,               0.000614,               0.000614
                     37,                0.78197,                0.54131,                0.92356,                0.88781,                0.85393,                0.93317,                0.71926,                0.90695,                0.68994,                0.98859,              0.0005744,              0.0005744,              0.0005744
                     38,                0.76666,                0.53581,                0.90808,                0.88806,                0.86167,                0.93851,                0.71837,                0.90829,                 0.6539,                0.99575,              0.0005348,              0.0005348,              0.0005348
                     39,                0.73808,                0.52509,                0.90817,                 0.8866,                0.87848,                 0.9371,                0.72765,                0.87754,                0.66065,                0.97998,              0.0004952,              0.0004952,              0.0004952
                     40,                0.77041,                0.54924,                0.92015,                0.89066,                0.88015,                0.93089,                0.71564,                0.90185,                0.66553,                0.99385,              0.0004556,              0.0004556,              0.0004556
                     41,                0.66966,                0.49206,                0.88209,                0.88515,                 0.8764,                0.92697,                 0.7148,                0.91927,                 0.7028,                 1.0017,               0.000416,               0.000416,               0.000416
                     42,                0.65813,                0.48588,                0.87699,                 0.8836,                 0.8839,                0.92599,                0.71831,                0.89724,                0.65929,                 1.0038,              0.0003764,              0.0003764,              0.0003764
                     43,                0.65369,                0.47259,                0.87717,                 0.8855,                0.86893,                0.92412,                0.72496,                0.86431,                0.64785,                0.98123,              0.0003368,              0.0003368,              0.0003368
                     44,                0.64242,                 0.4733,                0.87471,                0.86432,                0.88279,                 0.9269,                0.73062,                0.84953,                0.66893,                0.97461,              0.0002972,              0.0002972,              0.0002972
                     45,                0.63288,                0.46412,                0.87511,                0.87189,                0.86891,                0.92269,                0.72944,                0.84922,                0.64109,                0.97634,              0.0002576,              0.0002576,              0.0002576
                     46,                0.62143,                0.45732,                0.87751,                0.91196,                0.85348,                0.92612,                0.72916,                0.85915,                0.65443,                0.98122,               0.000218,               0.000218,               0.000218
                     47,                0.60849,                0.44626,                0.86531,                0.90017,                0.84426,                0.93368,                 0.7419,                0.85918,                 0.6349,                 0.9737,              0.0001784,              0.0001784,              0.0001784
                     48,                0.61398,                0.44929,                0.86765,                0.85292,                0.90637,                0.93323,                0.74527,                0.83613,                0.61887,                0.97088,              0.0001388,              0.0001388,              0.0001388
                     49,                0.59782,                0.44319,                  0.864,                0.89241,                0.85019,                0.93044,                0.74212,                0.84258,                0.63076,                0.96956,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.60973,                0.44694,                0.86699,                0.91474,                0.85019,                0.92775,                0.73515,                0.84645,                0.63785,                 0.9677,               5.96e-05,               5.96e-05,               5.96e-05
