                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4615,                0.88154,                 1.8158,                0.84795,                0.89813,                0.91828,                0.73148,                 1.7024,                 1.0131,                 2.0766,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4395,                0.87121,                 1.8239,                0.83133,                0.89888,                0.92314,                0.72558,                 1.6839,                 1.0864,                  2.077,               0.000614,               0.000614,               0.000614
                     37,                 1.3845,                0.82633,                 1.7999,                0.82585,                 0.9058,                0.92068,                0.74341,                 1.6782,                 1.0439,                 2.0732,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3563,                0.81096,                 1.7874,                 0.8653,                0.89023,                0.91546,                 0.7315,                 1.7172,                 1.0892,                 2.0558,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4022,                0.82356,                  1.832,                0.87843,                0.87266,                0.92021,                 0.7262,                 1.7456,                 1.0392,                 2.0778,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3795,                0.80904,                 1.8069,                0.84403,                0.90262,                0.92763,                0.73676,                 1.7186,                 1.0116,                 2.1066,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1773,                0.69475,                 1.7335,                0.87711,                0.88212,                 0.9239,                0.72899,                 1.7002,                 1.0243,                 2.0713,               0.000416,               0.000416,               0.000416
                     42,                 1.1295,                0.66433,                 1.7185,                0.85241,                0.89888,                0.92476,                0.73276,                 1.7089,                 1.0827,                 2.0913,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1291,                0.68322,                 1.7291,                  0.885,                0.86472,                0.92923,                0.74081,                 1.6826,                  1.023,                 2.0975,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0842,                0.63571,                 1.7028,                0.87442,                0.89888,                 0.9287,                0.74212,                  1.654,                0.98507,                  2.069,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0697,                0.62485,                 1.7107,                0.88881,                 0.8682,                0.93076,                0.74848,                 1.6173,                 1.0185,                 2.0642,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0373,                0.63054,                 1.7189,                0.89138,                0.87266,                0.92718,                0.75197,                 1.6546,                 1.0255,                 2.0794,               0.000218,               0.000218,               0.000218
                     47,                 1.0121,                0.60594,                 1.7068,                0.87771,                 0.8764,                0.92233,                0.75482,                 1.6099,                 1.0541,                 2.0439,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.9829,                0.57724,                 1.6796,                0.86985,                0.87611,                0.92475,                0.75486,                 1.6116,                  1.015,                 2.0438,              0.0001388,              0.0001388,              0.0001388
                     49,                0.97755,                0.57382,                  1.684,                0.88252,                0.88015,                0.92374,                0.75149,                   1.62,                 1.0457,                 2.0428,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.98259,                0.58406,                 1.6807,                0.87166,                0.89033,                0.92549,                0.75357,                 1.6262,                  1.032,                 2.0646,               5.96e-05,               5.96e-05,               5.96e-05
